,closeDateTime,customerCode,onTimeSolution
3579,1546437480,215,S
3912,1546437660,215,S
3285,1546438560,215,S
3995,1546440060,215,S
3892,1546440660,215,S
3927,1546440720,215,S
3889,1546440960,215,S
3914,1546441320,215,S
3711,1546441440,215,
4000,1546441500,215,S
3845,1546441740,215,S
3925,1546442220,215,S
3887,1546442280,215,S
3905,1546442340,215,N
4024,1546442340,215,S
3884,1546442700,215,S
3659,1546442700,215,S
4020,1546442880,215,S
3834,1546443000,215,S
3916,1546443420,215,S
3541,1546443660,215,S
2783,1546444020,215,N
3978,1546444200,215,N
2469,1546444500,215,S
3890,1546444740,215,N
3566,1546444980,215,S
3671,1546445040,215,S
3574,1546445100,215,S
3838,1546445100,215,S
4022,1546445340,215,S
4016,1546445400,215,S
4018,1546445580,215,S
3867,1546445700,215,S
3911,1546445760,215,S
3918,1546445760,215,S
2929,1546445820,215,S
3900,1546445820,215,S
3219,1546445880,215,N
3592,1546446180,215,S
3869,1546446300,215,S
4014,1546446420,215,S
3860,1546446420,215,S
2042,1546446540,215,S
3937,1546446660,215,S
3527,1546446840,215,S
3955,1546446960,215,N
4009,1546447020,215,S
4002,1546447200,215,S
3342,1546447320,215,N
3537,1546447560,215,N
3800,1546447740,215,S
3819,1546447860,215,S
4007,1546447860,215,S
3972,1546448340,215,S
3928,1546448760,215,S
2732,1546448820,215,N
3931,1546448880,215,S
3996,1546448940,215,S
8708,1546449120,215,S
3824,1546449240,215,S
3608,1546449360,215,S
3552,1546449480,215,S
3915,1546449720,215,S
3908,1546449780,215,S
4034,1546449900,215,S
2792,1546449900,215,N
4004,1546449960,215,N
3668,1546449960,215,S
3935,1546450080,215,S
3279,1546451040,215,N
3743,1546451520,215,S
8771,1546451520,215,S
3859,1546451880,215,S
3612,1546452240,215,S
3842,1546452360,215,N
3861,1546452480,215,S
3992,1546453200,215,S
3530,1546453560,215,N
8663,1546453740,215,S
4011,1546453920,215,S
3970,1546454340,215,S
3942,1546454760,215,S
3969,1546455360,215,S
8746,1546455540,215,S
3636,1546455720,215,N
4030,1546456140,215,S
8718,1546456380,215,S
3961,1546456620,215,S
3841,1546456800,215,N
4031,1546457040,215,S
3952,1546457220,215,S
8721,1546457280,215,S
3745,1546457280,215,N
3691,1546457280,215,S
3907,1546457340,215,N
3891,1546457400,215,S
3688,1546457520,215,S
3402,1546458180,215,N
2827,1546458300,215,N
8696,1546458660,215,S
2526,1546458660,215,N
742,1546458900,215,N
3376,1546458960,215,S
8676,1546459080,215,S
1855,1546459380,215,N
3601,1546459620,215,N
8680,1546459620,215,S
3613,1546459860,215,S
3939,1546460160,215,S
3959,1546460220,215,S
3919,1546460460,215,N
3832,1546460640,215,S
3575,1546460760,215,S
3868,1546460760,215,S
3437,1546461000,215,N
2176,1546461000,215,S
3957,1546461120,215,N
8702,1546461360,215,S
8677,1546461420,215,S
3198,1546461420,215,N
3739,1546461600,215,S
8727,1546461840,215,S
8662,1546462080,215,S
2909,1546462200,215,N
3531,1546462740,215,S
3864,1546462980,215,S
3846,1546463280,215,S
8701,1546463460,215,S
2921,1546463460,215,N
3587,1546463700,215,S
8631,1546463700,215,S
3538,1546463880,215,N
3007,1546464180,215,S
3401,1546464300,215,N
1461,1546464360,215,S
3753,1546464660,215,S
2418,1546464780,215,N
1986,1546465020,215,S
8615,1546465080,215,S
1585,1546465140,215,N
1983,1546465380,215,S
3740,1546465680,215,S
8720,1546465860,215,S
3493,1546466340,215,S
3940,1546466400,215,S
8728,1546466460,215,S
3976,1546466520,215,S
8613,1546466640,215,S
4035,1546466700,215,S
3820,1546466820,215,S
3549,1546467240,215,S
4019,1546467480,215,S
1984,1546467480,215,S
2668,1546467660,215,N
1985,1546467720,215,S
8649,1546468080,215,S
3236,1546468380,215,S
8605,1546468380,215,S
3687,1546468440,215,N
2587,1546468740,215,S
3784,1546468920,215,S
8599,1546469040,215,S
8659,1546469220,215,S
8549,1546469340,215,S
8719,1546469340,215,S
3895,1546469460,215,S
3585,1546469640,215,N
2870,1546469700,215,N
2348,1546469880,215,N
3906,1546470600,215,S
2624,1546471380,215,S
3511,1546471560,215,N
8574,1546471620,215,S
8612,1546472880,215,S
8611,1546473300,215,S
3560,1546474080,215,N
3744,1546474320,215,N
2828,1546475280,215,S
8627,1546522380,215,S
8579,1546522500,215,S
8503,1546522560,215,S
3048,1546523880,215,S
8531,1546525320,215,S
3561,1546525980,215,S
8540,1546526460,215,S
8504,1546526460,215,S
3999,1546526820,215,S
8609,1546526940,215,S
3870,1546527120,215,S
8578,1546527180,215,S
8597,1546527180,215,S
1921,1546527360,215,N
3520,1546527960,215,S
8519,1546528080,215,S
8738,1546528200,215,S
8645,1546528500,215,S
8626,1546528560,215,S
8621,1546528920,215,S
8513,1546528920,215,S
8608,1546529100,215,S
4013,1546529460,215,S
8592,1546529580,215,S
8487,1546529760,215,S
8536,1546529940,215,S
4005,1546530060,215,S
2810,1546530060,215,S
8679,1546530120,215,S
4012,1546530180,215,S
3899,1546530420,215,S
3366,1546530480,215,N
8514,1546531320,215,S
8647,1546531980,215,S
8535,1546532100,215,S
8450,1546532220,215,S
3835,1546532580,215,N
8556,1546532640,215,S
2939,1546533240,215,N
8697,1546533360,215,S
3954,1546533600,215,N
3738,1546533960,215,S
